decision_id	peer_or_corpus	observed_behavior	classification	executable_evidence
JSONAPI-DEC-001	JSON:API 1.1 normative format	Non-compliant members are ignored while recognized invalid members still fail.	specification ambiguity	TestDecodersIgnoreNonCompliantMembers
JSONAPI-DEC-002	Atomic and Cursor authority documents	Only explicitly registered extension and profile semantics become active.	deliberate policy difference	TestCodecAppliesRegisteredProfileDocumentValidation
JSONAPI-DEC-003	JSON:API 1.1 query grammar	Core families are parsed and implementation families require registration.	specification ambiguity	TestQueryParserAcceptsRegisteredCustomAndExtensionFamilies
JSONAPI-DEC-004	JSON:API 1.1 relationship examples	Absent, null, to-one, and to-many linkage remain distinct.	specification ambiguity	TestMarshalRelationshipDataShapes
JSONAPI-DEC-005	Pinned compound-document fixture	Identity aliases do not permit duplicate or unlinked included resources.	deliberate policy difference	TestValidateLinksIncludedResourceThroughItsLocalIdentity
JSONAPI-DEC-006	JSON:API 1.1 sparse-fieldset grammar	The package parses fieldsets without inventing schema projection policy.	deliberate policy difference	TestValidateWithAllowsSparseFieldsetFullLinkageException
JSONAPI-DEC-007	Cursor Pagination profile examples	Cursor semantics are activated only through the profile API.	deliberate policy difference	TestCursorPaginationParsesProfileParameters
JSONAPI-DEC-008	Local transaction adapter contract	Operations execute in order and failures trigger one rollback attempt.	deliberate policy difference	TestExecuteAtomicRollsBackAtFirstOperationFailure
JSONAPI-DEC-009	JSON:API recommendations	Recommendation-only conventions do not become base query validation rules.	deliberate policy difference	TestQueryParserAcceptsRegisteredCustomAndExtensionFamilies
JSONAPI-DEC-010	JSON:API authority set	Base, extension, profile, recommendation, and application policy retain separate authority.	specification ambiguity	TestProfileValidatorCannotMutateValidatedDocument
